drh_id,int_id,name,poll_type,year_from,year_to,region,lat,lon
RW50cnk6MjY1Nw==,2657,Energy Healing Groups in Brittany,religious_group,2014,2026,Brittany,48.0,-3.0
RW50cnk6OTUz,953,Sachchai,religious_group,1975,2020,Nepal and parts of North India,28.0,83.0
RW50cnk6Mjc1Ng==,2756,Barbara Brennan School of Healing,religious_group,1982,2026,Montreal1,45.5,-73.57
RW50cnk6Mjc0NA==,2744,Dunamis International Gospel Center,religious_group,2020,2026,"Umuahia, Abia State, Southeastern Nigeria",5.53,7.49
RW50cnk6MTA2OQ==,1069,Religion at Deir el-Medina,religious_group,-1504,-1069,Deir el-Medina,25.73,32.6
RW50cnk6MTE0MA==,1140,Early Medieval Confucianism,religious_group,220,589,Northern Wei and the Liu-Song,40.0,113.0
RW50cnk6MjY1OQ==,2659,Salamullah,religious_group,1996,2025,"Jakarta, Banten, and Bogor",-6.21,106.85
RW50cnk6MTI1OA==,1258,Religion in Judah,religious_group,-1000,-586,Ancient Judah,31.5,35.0
RW50cnk6MTE3OA==,1178,Modern Mystery School (MMS),religious_group,1997,2021,Primarily North America and Japan,,
RW50cnk6MjQ4NA==,2484,Simon Kimbangu,religious_group,1921,1951,Peregrine_Tshitolian,-4.0,23.0
RW50cnk6MTg2OQ==,1869,IFA RELIGIOUS GROUP IN ILE- IFE,religious_group,1930,2015,Ile-Ife,7.47,4.56
RW50cnk6MjczNw==,2737,The Lighthouse Chapel International,religious_group,1993,2026,Great Britain_Political Territory_DRH,54.0,-2.0
RW50cnk6MjczMQ==,2731,Maruyamakyō,religious_group,1910,1945,Japanese Empire and Occupied Areas,36.2,138.0
RW50cnk6OTkz,993,Pontifex Maximus and Pontifices (Pontifical College),religious_group,-712,380,Rome,41.9028,12.4964
RW50cnk6MjM0Ng==,2346,Igbo Traditional Religion,religious_group,1800,2024,"Igboland, South East, Nigeria",6.0,7.5
RW50cnk6Njcz,673,Pawnee,religious_group,1842,1870,Skidi Band Territory,42.0,-99.5
RW50cnk6MTEzNg==,1136,The Fellowship of Goodness 同善社 (Tongshanshe),religious_group,1910,1951,Poyang Lake Area,28.8,116.3
RW50cnk6MjA3MA==,2070,Overcomers Evangelical Mission International (Ori-Oke Asegun),religious_group,2003,2018,Ile-Ife,7.47,4.56
RW50cnk6MzQ4,348,Yanshi Shangcheng,religious_group,-1600,-1365,"Luo River, Yellow River Valley, Henan Province",34.8,113.6
RW50cnk6ODgw,880,Egyptian Salafism (inluding North Africa and West Asia),religious_group,1870,2015,North Africa,27.0,17.0
RW50cnk6MjY4Ng==,2686,"R. Shimon Bar Yochai's Tomb, Meron Israel",religious_group,2023,2026,Phoenicia,33.8547,35.8623
RW50cnk6MTQzNg==,1436,The Monastic School of Gaza,religious_group,320,536,Gaza.,31.5,34.47
