culture_id,cluster_id,method
Ig14,0,kmeans
Ac17,0,kmeans
Ad22,2,kmeans
Ad47,2,kmeans
Ic12,2,kmeans
CARNEIRO4_101,0,kmeans
Ei16,0,kmeans
Cj8,4,kmeans
Aj20,0,kmeans
Cd5,4,kmeans
Ag26,0,kmeans
Ci9,4,kmeans
Na7,0,kmeans
Ab2,4,kmeans
Sb4,0,kmeans
Cd8,0,kmeans
Cc12,0,kmeans
Ia7,0,kmeans
CARNEIRO4_013,0,kmeans
Na27,2,kmeans
Sb8,2,kmeans
Ad37,0,kmeans
Nb30,2,kmeans
SCCS23,3,kmeans
Cb15,0,kmeans
Eg2,4,kmeans
CARNEIRO4_021,0,kmeans
Na26,2,kmeans
Eh7,0,kmeans
Ig21,0,kmeans
WNAI170,1,kmeans
Sd2,2,kmeans
Cd10,0,kmeans
Ah22,0,kmeans
Sc15,2,kmeans
Cc10,0,kmeans
SCCS40,7,kmeans
Ea9,2,kmeans
CARNEIRO6_046,0,kmeans
Ac19,0,kmeans
Eg10,4,kmeans
Sj6,4,kmeans
Ad39,0,kmeans
Ag52,0,kmeans
CARNEIRO4_064,0,kmeans
Cb6,0,kmeans
Sh2,2,kmeans
Ic4,4,kmeans
Eh9,0,kmeans
Aj1,0,kmeans
Ae25,0,kmeans
Ic3,2,kmeans
Ei12,0,kmeans
SCCS76,0,kmeans
WNAI98,0,kmeans
CARNEIRO4_062,0,kmeans
Ag7,0,kmeans
Ae58,0,kmeans
Ah25,0,kmeans
Ca3,4,kmeans
SCCS100,3,kmeans
WNAI28,0,kmeans
Cc5,2,kmeans
Af57,0,kmeans
Ng8,0,kmeans
Ig3,2,kmeans
Ai41,4,kmeans
SCCS96,0,kmeans
Ah3,4,kmeans
CARNEIRO4_122,0,kmeans
Nb22,2,kmeans
Ca29,0,kmeans
CARNEIRO6_013,0,kmeans
Sh8,2,kmeans
SCCS88,7,kmeans
CARNEIRO6_036,0,kmeans
Ni2,2,kmeans
Ii6,2,kmeans
Sa16,0,kmeans
Nb6,4,kmeans
